1열,Category,Depth1,Depth2,Depth3,요구사항 상세 설명,기능/비기능,우선순위,비고,상태,담당자
REQ-USER-001,회원관리,회원가입,이메일 회원가입,,"모든 비로그인 유저는 회원가입 버튼을 통해 회원가입을 진행할 수 있습니다.

• 회원가입에 필요한 항목
    • 이메일
    • 비밀번호
    • 닉네임
    • 이름
    • 휴대폰 번호
    • 생년월일
    • 성별",기능,높음,"휴대폰 인증 기능 필요
이메일 인증 기능 필요
닉네임 중복 확인 기능 필요",대기중,
REQ-USER-002,회원관리,회원가입,이메일 회원가입,이메일 인증,"이메일 인증을 거쳐야만 회원가입을 진행할 수 있습니다.

• Flow
    1. 입력한 이메일에 인증코드를 전송
    2. 전송된 인증코드를 입력하고 인증하기 버튼을 클릭하면 이메일 인증을 완료",기능,높음,"- 인증코드는 base62로 인코딩된 문자열
- Gmail을 사용하여 SMTP 구축",대기중,
REQ-USER-003,회원관리,회원가입,이메일 회원가입,휴대폰 인증,"회원가입을 위해 휴대폰 인증 기능을 사용할 수 있습니다.

• Flow
    1. 사용자가 입력한 휴대폰 번호로 인증문자 메시지를 전송합니다.
    2. 사용자는 수신한 인증문자에 포함된 인증코드를 입력하고 인증하기 버튼을 클릭하여 휴대폰인증을 완료할 수 있습니다.",기능,높음,"- 인증번호는 6자리 난수입니다.
- Twilio Auth 서비스를 이용합니다.",대기중,
REQ-USER-004,회원관리,회원가입,소셜 로그인 및 회원가입,카카오,"모든 비로그인 유저는 소셜 로그인 버튼을 통해 회원가입 및 로그인을 진행할 수 있습니다.

카카오 인증서버를 통해 Oauth2 인증을 거친 후 카카오 서버로부터 사용자 정보를 가져와서 저장합니다.

이미 사용자가 존재한다면 생성하지 않고 로그인으로 넘어갑니다.

• 카카오 필수 동의 항목
    • 이메일
    • 닉네임
        - 중복 방지 처리 필요
    • 이름
    • 휴대폰 번호 
        - 중복불가
    • 생년월일
    • 성별
    • 프로필 사진",기능,높음,카카오 로그인 기능과 연결,대기중,
REQ-USER-005,회원관리,회원가입,소셜 로그인 및 회원가입,네이버,"모든 비로그인 유저는 소셜 로그인 버튼을 통해 회원가입 및 로그인을 진행할 수 있습니다.

네이버 인증서버를 통해 Oauth2 인증을 거친 후 네이버 서버로부터 사용자 정보를 가져와서 저장합니다.

이미 사용자가 존재한다면 생성하지 않고 로그인으로 넘어갑니다.

• 네이버 필수 동의 항목
    • 이메일
    • 닉네임
        - 중복 방지 처리 필요
    • 이름
    • 휴대폰 번호 
        - 중복불가
    • 생년월일
    • 성별
    • 프로필 사진",기능,높음,네이버 로그인 기능과 연결,대기중,
REQ-USER-006,회원관리,로그인,이메일 로그인,,"로그인 버튼을 클릭하여 이메일과 비밀번호를 입력하여 로그인을 할 수 있습니다.

• 입력 항목
    • 이메일
    • 비밀번호",기능,높음,,대기중,
REQ-USER-009,회원관리,이메일 찾기,,,"이메일을 기억하지 못하거나 분실한 경우 이메일 찾기를 기능을 통해 찾을 수 있습니다.

입력해야하는 항목이 모두 입력되면 휴대폰 인증 단계로 이동합니다.

• 입력 항목
    • 이름
    • 휴대폰 번호",기능,낮음,"휴대폰 인증 기능 필요
찾은 이메일 마스킹 처리 필요",대기중,
REQ-USER-010,회원관리,이메일 찾기,휴대폰 인증,,"이메일 찾기를 위해 휴대폰 인증 기능을 사용할 수 있습니다.

• Flow
    1. 사용자가 입력한 휴대폰 번호로 인증문자 메시지를 전송합니다.
    2. 사용자는 수신한 인증문자에 포함된 인증코드를 입력하고 인증하기 버튼을 클릭하여 휴대폰인증을 완료할 수 있습니다.",기능,낮음,"- 인증번호는 6자리 난수입니다.
- Twilio Auth 서비스를 이용합니다.",대기중,
REQ-USER-011,회원관리,비밀번호 찾기,,,"비밀번호를 분실한 경우 비밀번호 찾기를 통해서 재설정할 수 있습니다.
비밀번호 찾기 시 입력받아야 하는 항목은 다음과 같습니다.

• 입력 항목
    • 이메일
    • 인증 코드",기능,낮음,이메일 인증 기능 필요,대기중,
REQ-USER-012,회원관리,비밀번호 찾기,이메일 인증,,"이메일 인증을 거쳐야만 비밀번호 찾기 과정을 진행할 수 있습니다.

• Flow
    1. 입력한 이메일에 인증코드를 전송
    2. 전송된 인증코드를 입력하고 인증하기 버튼을 클릭하면 이메일 인증을 완료",기능,낮음,"- 인증코드는 base62로 인코딩된 문자열
- Gmail을 사용하여 SMTP 구축",대기중,
REQ-USER-013,회원관리,회원탈퇴,,,"모든 로그인 회원은 마이페이지 내의 회원탈퇴 버튼을 통해 회원탈퇴를 진행할 수 있습니다.

회원 복구를 위해 탈퇴 즉시 회원정보를 삭제하는 것이 아닌 2주 후에 데이터베이스에서 삭제되도록 합니다.",기능,중간,- 로그인 여부 확인 필요,대기중,
REQ-USER-014,회원관리,탈퇴 계정 복구,,,"기존에 회원 탈퇴를 진행한 유저가 해당 계정으로 로그인을 시도하면 계정 복구를 진행할 수 있습니다.

이메일 인증을 통해 계정 복구를 진행할 수 있습니다.

유저는 계정 복구가 완료되는 즉시 다시 로그인을 할 수 있어야합니다.

• 입력 항목
    • 인증 코드",기능,낮음,,대기중,
REQ-USER-015,회원관리,탈퇴 계정 복구,이메일 인증,,"이메일 인증을 거쳐 계정복구를 완료할 수 있습니다.

• Flow
    1. 로그인을 시도한 유저의 이메일에 인증코드를 전송
    2. 전송된 인증코드를 입력하고 인증하기 버튼을 클릭하면 이메일 인증을 완료
    3. 계정을 다시 활성화",기능,낮음,"- 인증코드는 base62로 인코딩된 문자열
- Gmail을 사용하여 SMTP 구축",대기중,
REQ-USER-016,회원관리,내 정보 조회,,,"모든 로그인 회원은 마이페이지 내의 내 정보 탭에서 자신의 회원 정보를 조회할 수 있습니다.

• 조회 가능한 항목
    • 프로필 이미지
    • 이메일
    • 닉네임
    • 이름
    • 휴대폰 번호
    • 생년월일",기능,중간,,대기중,
REQ-USER-017,회원관리,내 정보 수정,,,"모든 로그인 된 회원은 마이페이지 내의 내 정보 탭에서 수정하기 버튼을 통해 조회된 내 회원 정보를 수정할 수 있습니다.

• 수정 가능한 항목
    • 프로필 이미지
    • 비밀번호
    • 닉네임
    • 휴대폰 번호",기능,중간,"비밀번호 재확인 기능 필요
닉네임 중복 확인 기능 필요
휴대폰 번호 인증 기능 필요",대기중,
