요구사항 ID,Category,Depth1,Depth2,Depth3,요구사항 상세 설명,기능/비기능,우선순위,비고,상태,담당자
REQ-AUTH-001,회원관리,회원가입,,,모든 비로그인 유저는 회원가입을 진행할 수 있습니다.

• 회원가입에 필요한 항목
    • 이메일
    • 비밀번호
    • 이름
    • 연령
    • 성별,기능,높음,JWT 기반 인증,대기중,
REQ-AUTH-002,회원관리,로그인,,,로그인 유저는 이메일과 비밀번호를 입력하여 로그인할 수 있습니다.

• 입력 항목
    • 이메일
    • 비밀번호,기능,높음,JWT 토큰 발급 (24시간 유효),대기중,
REQ-AUTH-003,회원관리,토큰 갱신,,,로그인 유저는 Refresh Token을 사용하여 Access Token을 갱신할 수 있습니다.,기능,높음,Refresh Token 유효기간: 30일,대기중,
REQ-AUTH-004,회원관리,로그아웃,,,로그인 유저는 로그아웃을 진행할 수 있습니다.,기능,중간,,대기중,
REQ-PROF-001,건강 프로필,프로필 등록,,,모든 로그인 유저는 개인 건강 프로필을 등록할 수 있습니다.

• 입력 항목
    • 기저질환 (당뇨, 고혈압, 신장 질환 등)
    • 알레르기 (페니실린, 설파제 등)
    • 복용 중인 약
    • 연령 / 성별,기능,높음,"프로필 입력 시 맞춤형 가이드 정교화
데이터 암호화 저장 (PHI 기준)",대기중,
REQ-PROF-002,건강 프로필,프로필 조회,,,로그인 유저는 자신의 건강 프로필을 조회할 수 있습니다.,기능,중간,,대기중,
REQ-PROF-003,건강 프로필,프로필 수정,,,로그인 유저는 자신의 건강 프로필을 수정할 수 있습니다.,기능,중간,,대기중,
REQ-PROF-004,건강 프로필,프로필 삭제,,,로그인 유저는 자신의 건강 프로필을 삭제할 수 있습니다.,기능,낮음,,대기중,
REQ-VISION-001,알약 식별,이미지 촬영,,,"모든 유저는 웹뷰 카메라를 통해 알약 이미지를 촬영하거나 갤러리에서 선택할 수 있습니다.

• 입력
    • 웹뷰 카메라 촬영 (HTML5 getUserMedia)
    • 또는 파일 선택",기능,높음,"카메라 접근 권한 처리
파일 업로드 인터페이스 제공",대기중,
