요구사항ID,카테고리,기능명,상세내용,기능구분,우선순위,비고,상태,담당자
REQ-AUTH-001,회원관리,회원가입,"이메일, 비밀번호, 이름, 연령, 성별 입력하여 회원가입",기능,높음,JWT 기반 인증,대기중,
REQ-AUTH-002,회원관리,로그인,이메일과 비밀번호로 로그인,기능,높음,JWT 토큰 발급 24시간 유효,대기중,
REQ-AUTH-003,회원관리,토큰 갱신,Refresh Token으로 Access Token 갱신,기능,높음,Refresh Token 30일 유효,대기중,
REQ-AUTH-004,회원관리,로그아웃,로그인 유저 로그아웃,기능,중간,,대기중,
REQ-AUTH-005,회원관리,구글 소셜 로그인,구글 계정으로 간편 로그인/회원가입,기능,높음,OAuth 2.0 / JWT 토큰 발급,대기중,
REQ-AUTH-006,회원관리,카카오 소셜 로그인,카카오 계정으로 간편 로그인/회원가입,기능,높음,OAuth 2.0 / JWT 토큰 발급 / 국내 우선,대기중,
REQ-PROF-001,건강 프로필,프로필 등록,"기저질환, 알레르기, 복용중인약, 연령/성별 입력",기능,높음,PHI 암호화 저장,대기중,
REQ-PROF-002,건강 프로필,프로필 조회,자신의 건강 프로필 조회,기능,중간,,대기중,
REQ-PROF-003,건강 프로필,프로필 수정,자신의 건강 프로필 수정,기능,중간,,대기중,
REQ-PROF-004,건강 프로필,프로필 삭제,자신의 건강 프로필 삭제,기능,낮음,,대기중,
REQ-VISION-001,알약 식별,이미지 촬영,웹뷰 카메라로 알약 촬영 또는 갤러리 선택,기능,높음,HTML5 getUserMedia,대기중,
REQ-VISION-002,알약 식별,알약 인식,YOLOv8s 기반 알약 자동 인식,기능,높음,정확도 98% 이상 5초 이내,대기중,
REQ-VISION-003,알약 식별,인식 결과 표시,"약품명, 성분, 효능, 인식 신뢰도 표시",기능,높음,인식 실패시 재촬영 안내,대기중,
REQ-VISION-004,알약 식별,인식 이력 조회,과거 알약 인식 이력 조회,기능,중간,,대기중,
REQ-OCR-001,처방전 OCR,이미지 촬영/업로드,처방전/약봉투 촬영 또는 파일 선택,기능,높음,이미지 프리뷰 제공,대기중,
REQ-OCR-002,처방전 OCR,텍스트 추출,Naver Clova OCR로 텍스트 자동 추출,기능,높음,정확도 98% 이상,대기중,
REQ-OCR-003,처방전 OCR,결과 확인/수정,OCR 추출 결과 확인 및 수정,기능,높음,,대기중,
REQ-PRESC-001,처방전 관리,처방전 업로드,처방전 업로드 및 저장,기능,높음,AWS S3에 이미지 저장,대기중,
REQ-PRESC-002,처방전 관리,처방전 목록 조회,처방전 목록 조회,기능,높음,날짜 역순 정렬,대기중,
REQ-PRESC-003,처방전 관리,처방전 상세 조회,특정 처방전 상세 정보 조회,기능,높음,,대기중,
REQ-PRESC-004,처방전 관리,처방전 삭제,본인 처방전 삭제,기능,중간,,대기중,
REQ-GUIDE-001,복약 가이드,가이드 생성,GPT-4o 기반 개인 맞춤형 복약 가이드 생성,기능,높음,개발 GPT-4o-mini 배포 GPT-4o,대기중,
REQ-GUIDE-002,복약 가이드,의학 용어 번역,의학 용어를 쉬운 언어로 번역,기능,높음,LLM 자동 번역,대기중,
REQ-GUIDE-003,복약 가이드,실버/시니어 모드,고령층용 대형 폰트 UI,기능,높음,24px 이상 WCAG AA,대기중,
REQ-GUIDE-004,복약 가이드,TTS 자동 음성 안내,복약 가이드 음성 자동 재생,기능,높음,Web Speech API,대기중,
REQ-GUIDE-005,복약 가이드,면책 조항 표시,가이드 화면 하단 면책 조항 노출,기능,높음,법률 자문 필요,대기중,
REQ-CHATBOT-001,AI 챗봇,챗봇 질문,RAG 기반 복약 관련 질의응답,기능,높음,응답 5초 이내,대기중,
REQ-CHATBOT-002,AI 챗봇,챗봇 답변 생성,RAG 기반 답변 생성,기능,높음,면책 조항 노출,대기중,
REQ-CHATBOT-003,AI 챗봇,대화 이력 조회,과거 챗봇 대화 이력 조회,기능,중간,비식별화 후 활용,대기중,
REQ-SCHED-001,복약 알림,알림 자동 생성,OCR 추출 정보로 복약 알림 자동 생성,기능,높음,토스 앱인토스 알림 API,대기중,
REQ-SCHED-002,복약 알림,알림 목록 조회,예정된 복약 알림 목록 조회,기능,중간,,대기중,
REQ-SCHED-003,복약 알림,알림 수정,복약 알림 시간 수정,기능,중간,,대기중,
REQ-SCHED-004,복약 알림,알림 삭제,복약 알림 삭제,기능,중간,,대기중,
REQ-SCHED-005,복약 알림,복용 완료 처리,복용 완료 버튼으로 완료 처리,기능,중간,,대기중,
REQ-DASH-001,복약 기록 관리,복약 이력 조회,본인 복약 이력 조회,기능,높음,날짜 역순 정렬,대기중,
REQ-DASH-002,복약 기록 관리,이력 상세 조회,특정 복약 이력 상세 조회,기능,중간,,대기중,
REQ-DASH-003,복약 기록 관리,이력 삭제,본인 복약 이력 삭제,기능,낮음,,대기중,
